file,ply,side,san,raw,dcc,stability,adsr,trend,momentum,tunnel,dcc1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,114,b,Kf5,-29994,-29991,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,115,w,Qf8+,29995,30008,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,116,b,Kg4,-29996,-29983,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,117,w,Rg7+,29997,30000,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,118,b,Kh3,-29998,-29995,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,119,w,Qh8#,29999,,,,,0,0,
TCEC_Cup14_SF_vs_Lc0_2024.pgn,1,w,e4,1,18,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,2,b,d6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,3,w,d4,13,29,0.6,sustained,→,-0.3,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,4,b,Nf6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,5,w,Nc3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,6,b,g6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,7,w,f4,17,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,8,b,c6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,9,w,Nf3,109,126,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,10,b,Bg7,-108,-91,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,11,w,Bd3,108,125,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,12,b,O-O,-108,-91,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,13,w,O-O,108,125,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,14,b,Na6,-108,-92,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,15,w,h3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,16,b,c5,-93,-77,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,17,w,d5,92,108,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,18,b,Rb8,-92,-76,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,19,w,f5,92,109,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,20,b,Nc7,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,21,w,a4,115,132,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,22,b,a6,-115,-98,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,23,w,a5,115,132,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,24,b,gxf5,-115,-98,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,25,w,exf5,115,131,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,26,b,b5,-115,-98,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,27,w,axb6,115,132,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,28,b,Ncxd5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,29,w,Nxd5,119,133,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,30,b,Nxd5,-119,-105,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,31,w,Ra4,119,130,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,32,b,Qxb6,-119,-108,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,33,w,Kh2,119,123,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,34,b,Nf6,-119,-115,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,35,w,Rh4,119,133,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,36,b,c4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,37,w,Rxc4,123,127,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,38,b,a5,-123,-119,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,39,w,Rh4,123,137,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,40,b,Ba6,-123,-109,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,41,w,Ne1,123,127,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,42,b,Qc6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,43,w,Qe2,133,147,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,44,b,Rb4,-133,-122,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,45,w,Rxb4,133,143,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,46,b,Bxd3,-133,-129,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,47,w,Nxd3,133,137,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,48,b,axb4,-133,-119,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,49,w,Nxb4,135,149,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,50,b,Qb7,-135,-121,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,51,w,c3,135,139,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,52,b,d5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,53,w,Rd1,142,156,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,54,b,Re8,-142,-128,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,55,w,Be3,142,153,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,56,b,e6,-142,-131,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,57,w,fxe6,142,146,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,58,b,fxe6,-142,-138,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,59,w,Kg1,142,156,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,60,b,Ne4,-142,-127,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,61,w,Nd3,142,147,0.5,unknown,→,0,0,1
